Date,Region,Product,Quantity Sold,Unit Price,Total Sales
2023-01-01,North,Widget A,14,32.26,451.64
2023-01-01,North,Widget B,3,64.69,194.07
2023-01-01,North,Widget C,5,46.1,230.5
2023-01-01,North,Widget D,3,29.85,89.55
2023-01-01,South,Widget A,16,82.44,1319.04
2023-01-01,South,Widget B,7,75.24,526.68
2023-01-01,South,Widget C,3,17.86,53.58
2023-01-01,South,Widget D,4,85.04,340.16
2023-01-01,East,Widget A,3,44.76,134.28
2023-01-01,East,Widget B,5,94.35,471.75
2023-01-01,East,Widget C,13,99.14,1288.82
2023-01-01,East,Widget D,12,49.11,589.32
2023-01-01,West,Widget A,4,32.56,130.24
2023-01-01,West,Widget B,9,53.02,477.18
2023-01-01,West,Widget C,13,59.96,779.48
2023-01-01,West,Widget D,10,17.07,170.7
2023-01-02,North,Widget A,8,43.18,345.44
2023-01-02,North,Widget B,15,75.86,1137.9
2023-01-02,North,Widget C,8,99.48,795.84
2023-01-02,North,Widget D,2,34.62,69.24
2023-01-02,South,Widget A,6,44.23,265.38
2023-01-02,South,Widget B,18,28.84,519.12
2023-01-02,South,Widget C,1,53.1,53.1
2023-01-02,South,Widget D,3,16.91,50.73
2023-01-02,East,Widget A,14,64.22,899.08
2023-01-02,East,Widget B,8,93.46,747.68
2023-01-02,East,Widget C,16,53.59,857.44
2023-01-02,East,Widget D,4,61.57,246.28
2023-01-02,West,Widget A,20,92.86,1857.2
2023-01-02,West,Widget B,11,58.23,640.53
2023-01-02,West,Widget C,4,69.92,279.68
2023-01-02,West,Widget D,2,68.18,136.36
2023-01-03,North,Widget A,14,71.79,1005.06
2023-01-03,North,Widget B,10,78.4,784.0
2023-01-03,North,Widget C,2,91.27,182.54
2023-01-03,North,Widget D,11,64.38,708.18
2023-01-03,South,Widget A,19,58.34,1108.46
2023-01-03,South,Widget B,10,33.82,338.2
2023-01-03,South,Widget C,15,51.08,766.2
2023-01-03,South,Widget D,5,92.28,461.4
2023-01-03,East,Widget A,12,49.07,588.84
2023-01-03,East,Widget B,14,24.55,343.7
2023-01-03,East,Widget C,8,72.54,580.32
2023-01-03,East,Widget D,14,67.31,942.34
2023-01-03,West,Widget A,11,96.44,1060.84
2023-01-03,West,Widget B,11,36.8,404.8
2023-01-03,West,Widget C,2,48.35,96.7
2023-01-03,West,Widget D,4,36.96,147.84
2023-01-04,North,Widget A,19,90.32,1716.08
2023-01-04,North,Widget B,15,22.5,337.5
2023-01-04,North,Widget C,14,59.71,835.94
2023-01-04,North,Widget D,7,90.35,632.45
2023-01-04,South,Widget A,11,39.67,436.37
2023-01-04,South,Widget B,19,17.43,331.17
2023-01-04,South,Widget C,12,39.99,479.88
2023-01-04,South,Widget D,12,82.08,984.96
2023-01-04,East,Widget A,6,18.5,111.0
2023-01-04,East,Widget B,8,10.1,80.8
2023-01-04,East,Widget C,5,61.32,306.6
2023-01-04,East,Widget D,7,96.37,674.59
2023-01-04,West,Widget A,4,58.74,234.96
2023-01-04,West,Widget B,3,71.55,214.65
2023-01-04,West,Widget C,7,67.57,472.99
2023-01-04,West,Widget D,12,87.88,1054.56
2023-01-05,North,Widget A,14,73.41,1027.74
2023-01-05,North,Widget B,6,72.21,433.26
2023-01-05,North,Widget C,13,42.46,551.98
2023-01-05,North,Widget D,9,30.01,270.09
2023-01-05,South,Widget A,17,59.89,1018.13
2023-01-05,South,Widget B,19,56.67,1076.73
2023-01-05,South,Widget C,9,20.1,180.9
2023-01-05,South,Widget D,11,50.53,555.83
2023-01-05,East,Widget A,19,93.66,1779.54
2023-01-05,East,Widget B,15,22.68,340.2
2023-01-05,East,Widget C,8,32.71,261.68
2023-01-05,East,Widget D,19,18.16,345.04
2023-01-05,West,Widget A,8,46.49,371.92
2023-01-05,West,Widget B,4,15.54,62.16
2023-01-05,West,Widget C,12,48.88,586.56
2023-01-05,West,Widget D,12,85.54,1026.48
2023-01-06,North,Widget A,1,69.22,69.22
2023-01-06,North,Widget B,19,88.27,1677.13
2023-01-06,North,Widget C,9,14.08,126.72
2023-01-06,North,Widget D,16,44.21,707.36
2023-01-06,South,Widget A,8,72.72,581.76
2023-01-06,South,Widget B,17,22.77,387.09
2023-01-06,South,Widget C,16,70.69,1131.04
2023-01-06,South,Widget D,1,81.29,81.29
2023-01-06,East,Widget A,15,67.57,1013.55
2023-01-06,East,Widget B,16,64.24,1027.84
2023-01-06,East,Widget C,9,87.01,783.09
2023-01-06,East,Widget D,17,67.41,1145.97
2023-01-06,West,Widget A,13,41.34,537.42
2023-01-06,West,Widget B,1,72.67,72.67
2023-01-06,West,Widget C,3,86.11,258.33
2023-01-06,West,Widget D,18,71.59,1288.62
2023-01-07,North,Widget A,13,93.06,1209.78
2023-01-07,North,Widget B,9,77.77,699.93
2023-01-07,North,Widget C,3,74.47,223.41
2023-01-07,North,Widget D,9,21.1,189.9
2023-01-07,South,Widget A,2,75.08,150.16
2023-01-07,South,Widget B,8,69.74,557.92
2023-01-07,South,Widget C,15,77.12,1156.8
2023-01-07,South,Widget D,8,32.04,256.32
2023-01-07,East,Widget A,10,28.03,280.3
2023-01-07,East,Widget B,1,26.91,26.91
2023-01-07,East,Widget C,12,98.78,1185.36
2023-01-07,East,Widget D,3,25.46,76.38
2023-01-07,West,Widget A,13,92.8,1206.4
2023-01-07,West,Widget B,4,44.69,178.76
2023-01-07,West,Widget C,15,76.1,1141.5
2023-01-07,West,Widget D,11,52.78,580.58
2023-01-08,North,Widget A,15,93.85,1407.75
2023-01-08,North,Widget B,20,62.12,1242.4
2023-01-08,North,Widget C,20,41.56,831.2
2023-01-08,North,Widget D,9,45.05,405.45
2023-01-08,South,Widget A,19,16.96,322.24
2023-01-08,South,Widget B,5,68.72,343.6
2023-01-08,South,Widget C,14,29.24,409.36
2023-01-08,South,Widget D,3,35.63,106.89
2023-01-08,East,Widget A,20,10.2,204.0
2023-01-08,East,Widget B,1,29.12,29.12
2023-01-08,East,Widget C,9,97.49,877.41
2023-01-08,East,Widget D,16,83.89,1342.24
2023-01-08,West,Widget A,11,39.38,433.18
2023-01-08,West,Widget B,4,20.87,83.48
2023-01-08,West,Widget C,17,25.97,441.49
2023-01-08,West,Widget D,18,27.47,494.46
2023-01-09,North,Widget A,19,37.97,721.43
2023-01-09,North,Widget B,8,75.52,604.16
2023-01-09,North,Widget C,10,70.95,709.5
2023-01-09,North,Widget D,13,45.42,590.46
2023-01-09,South,Widget A,20,73.61,1472.2
2023-01-09,South,Widget B,15,52.11,781.65
2023-01-09,South,Widget C,2,71.67,143.34
2023-01-09,South,Widget D,14,82.24,1151.36
2023-01-09,East,Widget A,17,21.33,362.61
2023-01-09,East,Widget B,9,94.9,854.1
2023-01-09,East,Widget C,15,11.15,167.25
2023-01-09,East,Widget D,3,19.28,57.84
2023-01-09,West,Widget A,8,53.24,425.92
2023-01-09,West,Widget B,4,91.32,365.28
2023-01-09,West,Widget C,5,34.58,172.9
2023-01-09,West,Widget D,12,69.06,828.72
2023-01-10,North,Widget A,18,51.27,922.86
2023-01-10,North,Widget B,16,52.13,834.08
2023-01-10,North,Widget C,9,75.13,676.17
2023-01-10,North,Widget D,9,66.02,594.18
2023-01-10,South,Widget A,18,24.72,444.96
2023-01-10,South,Widget B,11,90.48,995.28
2023-01-10,South,Widget C,18,12.2,219.6
2023-01-10,South,Widget D,2,73.56,147.12
2023-01-10,East,Widget A,4,50.06,200.24
2023-01-10,East,Widget B,6,20.25,121.5
2023-01-10,East,Widget C,13,30.87,401.31
2023-01-10,East,Widget D,6,75.98,455.88
2023-01-10,West,Widget A,15,23.12,346.8
2023-01-10,West,Widget B,13,41.98,545.74
2023-01-10,West,Widget C,16,56.38,902.08
2023-01-10,West,Widget D,12,24.72,296.64
2023-01-11,North,Widget A,19,32.09,609.71
2023-01-11,North,Widget B,16,91.64,1466.24
2023-01-11,North,Widget C,9,64.22,577.98
2023-01-11,North,Widget D,9,73.05,657.45
2023-01-11,South,Widget A,12,41.62,499.44
2023-01-11,South,Widget B,1,70.15,70.15
2023-01-11,South,Widget C,13,61.95,805.35
